Connecting to host 10.0.0.3, port 5001
[  8] local 10.0.0.1 port 36278 connected to 10.0.0.3 port 5001
[  8] 206.00-207.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 207.01-208.00 sec   147 KBytes  1.22 Mbits/sec    0   8.48 KBytes       
[  8] 208.00-209.00 sec   249 KBytes  2.04 Mbits/sec    0   8.48 KBytes       
[  8] 209.00-210.01 sec   218 KBytes  1.77 Mbits/sec    0   8.48 KBytes       
[  8] 210.01-211.00 sec   156 KBytes  1.28 Mbits/sec    0   8.48 KBytes       
[  8] 211.00-212.01 sec  62.8 KBytes   511 Kbits/sec    0   8.48 KBytes       
[  8] 212.01-213.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 213.00-214.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 214.00-215.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 215.00-216.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 216.00-217.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 217.00-218.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 218.01-219.00 sec   110 KBytes   913 Kbits/sec    0   8.48 KBytes       
[  8] 219.00-220.01 sec   249 KBytes  2.02 Mbits/sec    0   8.48 KBytes       
[  8] 220.01-221.00 sec  62.2 KBytes   514 Kbits/sec    0   8.48 KBytes       
[  8] 221.00-222.00 sec  26.6 KBytes   218 Kbits/sec    0   8.48 KBytes       
[  8] 222.00-223.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 223.00-224.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 224.00-225.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 225.00-226.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 226.00-227.00 sec   128 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 227.00-228.01 sec   256 KBytes  2.08 Mbits/sec    0   8.48 KBytes       
[  8] 228.01-229.00 sec   256 KBytes  2.12 Mbits/sec    0   8.48 KBytes       
[  8] 229.00-230.00 sec   256 KBytes  2.10 Mbits/sec    0   8.48 KBytes       
[  8] 230.00-231.00 sec  3.34 KBytes  27.4 Kbits/sec    0   8.48 KBytes       
[  8] 231.00-232.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 232.01-233.00 sec  31.1 KBytes   257 Kbits/sec    0   8.48 KBytes       
[  8] 233.00-234.00 sec  93.5 KBytes   766 Kbits/sec    0   8.48 KBytes       
[  8] 234.00-235.00 sec  32.0 KBytes   261 Kbits/sec    0   8.48 KBytes       
[  8] 235.00-236.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 236.00-237.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 237.00-238.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 238.00-239.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 239.00-240.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 240.01-241.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 241.01-242.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 242.01-243.00 sec   224 KBytes  1.85 Mbits/sec    0   8.48 KBytes       
[  8] 243.00-244.01 sec   256 KBytes  2.08 Mbits/sec    0   8.48 KBytes       
[  8] 244.01-245.00 sec   196 KBytes  1.61 Mbits/sec    0   8.48 KBytes       
[  8] 245.00-246.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 246.00-247.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 247.00-248.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 248.00-249.01 sec   160 KBytes  1.29 Mbits/sec    0   8.48 KBytes       
[  8] 249.01-250.00 sec   202 KBytes  1.68 Mbits/sec    0   8.48 KBytes       
[  8] 250.00-251.01 sec   214 KBytes  1.74 Mbits/sec    0   8.48 KBytes       
[  8] 251.01-252.01 sec  97.5 KBytes   799 Kbits/sec    0   8.48 KBytes       
[  8] 252.01-253.01 sec   127 KBytes  1.04 Mbits/sec    0   8.48 KBytes       
[  8] 253.01-254.00 sec   216 KBytes  1.78 Mbits/sec    0   8.48 KBytes       
[  8] 254.00-255.00 sec   249 KBytes  2.03 Mbits/sec    0   8.48 KBytes       
[  8] 255.00-256.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 256.00-257.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 257.00-258.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 258.00-259.00 sec   124 KBytes  1.02 Mbits/sec    0   8.48 KBytes       
[  8] 259.00-260.00 sec  31.1 KBytes   255 Kbits/sec    0   8.48 KBytes       
[  8] 260.00-261.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 261.00-262.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 262.01-263.00 sec   159 KBytes  1.31 Mbits/sec    0   8.48 KBytes       
[  8] 263.00-264.00 sec  96.0 KBytes   786 Kbits/sec    0   8.48 KBytes       
[  8] 264.00-265.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 265.00-266.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 266.01-267.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 267.00-268.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 268.00-269.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 269.00-270.00 sec   128 KBytes  1.05 Mbits/sec    0   8.48 KBytes       
[  8] 270.00-271.01 sec   274 KBytes  2.22 Mbits/sec    0   8.48 KBytes       
[  8] 271.01-272.00 sec   238 KBytes  1.97 Mbits/sec    0   8.48 KBytes       
[  8] 272.00-273.01 sec   228 KBytes  1.86 Mbits/sec    0   8.48 KBytes       
[  8] 273.01-274.01 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 274.01-275.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
[  8] 275.00-276.00 sec  62.2 KBytes   508 Kbits/sec    0   8.48 KBytes       
[  8] 276.00-277.00 sec  36.8 KBytes   302 Kbits/sec    0   8.48 KBytes       
[  8] 277.00-278.00 sec   156 KBytes  1.27 Mbits/sec    0   8.48 KBytes       
[  8] 278.00-279.00 sec  61.2 KBytes   501 Kbits/sec    0   8.48 KBytes       
[  8] 279.00-280.00 sec  0.00 Bytes  0.00 bits/sec    0   8.48 KBytes       
